        22
         1	         1	
         2	         1	
         3	         1	
         4	         1	
         5	         1	
         6	         1	
         7	         1	
         8	         1	
         9	         1	
        10	         1	
        11	         1	
       606	         2	
       607	         2	
       608	         2	
       609	         2	
       610	         2	
       611	         2	
       612	         2	
       613	         2	
       614	         2	
       615	         2	
       616	         2	
